"","track.name","danceability","energy","loudness","acousticness","valence","tempo"
"347","Just Another Day",0.717,0.642,-10.727,0.0194,0.732,105.894
"348","I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992",0.404,0.498,-9.855,0.687,0.284,81.951
"349","Baby-Baby-Baby",0.679,0.597,-8.601,0.0913,0.9,184.174
"350","End Of The Road",0.64,0.427,-9.29,0.0664,0.529,149.703
"351","Baby Got Back",0.937,0.654,-11.187,0.00533,0.607,128.462
"352","If I Had No Loot",0.873,0.721,-9.774,0.113,0.81,106.725
"353","Show Me Love",0.811,0.833,-4.259,0.014,0.567,120.258
"354","Knockin' da Boots",0.726,0.501,-13.884,0.155,0.582,128.099
"355","Slam",0.876,0.71,-12.908,0.0654,0.724,98.305
"356","I'm Gonna Be (500 Miles)",0.851,0.551,-5.177,0.151,0.807,131.922
"357","Lately",0.377,0.315,-12.641,0.631,0.27,126.168
"358","That's The Way Love Goes",0.703,0.7,-6.789,0.302,0.582,97.675
"359","Weak",0.693,0.533,-10.954,0.107,0.568,127.661
"360","Whoomp! (There It Is)",0.798,0.649,-7.392,0.00138,0.433,129.422
"361","(I Can't Help) Falling In Love With You",0.642,0.722,-13.031,0.0444,0.836,172.406
"362","Back & Forth",0.706,0.727,-8.06,0.0698,0.903,92.938
"363","I'll Make Love To You",0.567,0.501,-8.038,0.0995,0.2,142.589
"364","Wild Night",0.665,0.888,-4.433,0.0695,0.951,144.339
"365","Any Time, Any Place",0.571,0.232,-11.309,0.604,0.207,128.785
"366","Regulate",0.849,0.521,-12.999,0.304,0.763,95.265
"367","Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",0.309,0.181,-17.022,0.87,0.146,124.711
"368","Fantastic Voyage",0.889,0.768,-9.148,0.128,0.808,104.653
"369","Don't Turn Around",0.745,0.771,-8.231,0.00104,0.752,95.623
"370","Stay",0.676,0.592,-6.887,0.454,0.337,80.316
"371","I Swear",0.532,0.407,-9.658,0.235,0.23,83.207
"372","Run-Around",0.629,0.867,-7.307,0.0865,0.876,151.695
"373","Have You Ever Really Loved A Woman?",0.57,0.478,-10.185,0.536,0.358,145.517
"374","Total Eclipse of the Heart",0.603,0.789,-8.939,0.00682,0.486,136.049
"375","Water Runs Dry",0.589,0.368,-12.979,0.475,0.523,89.626
"376","Boombastic",0.866,0.538,-16.183,0.242,0.78,158.323
"377","In The Summertime",0.733,0.684,-13.822,0.253,0.962,173.61
"378","I Can Love You Like That",0.635,0.712,-4.998,0.0811,0.423,91.024
"379","Kiss from a Rose",0.583,0.532,-7.11,0.684,0.223,131.741
"380","One More Chance / Stay with Me - Radio Edit; 2014 Remaster",0.77,0.693,-5.632,0.112,0.627,92.202
"381","Don't Take It Personal (Just One of Dem Days)",0.731,0.355,-12.741,0.00864,0.529,175.72
"382","Waterfalls",0.77,0.505,-7.345,0.311,0.757,171.798
"383","Because You Loved Me (Theme from ""Up Close and Personal"")",0.614,0.466,-9.881,0.314,0.178,119.916
"384","Always Be My Baby",0.649,0.531,-8.335,0.457,0.488,78.946
"385","I Love You Always Forever",0.744,0.453,-11.977,0.627,0.122,103.773
"386","C'mon N' Ride It (The Train)",0.843,0.959,-4.933,0.0913,0.923,135.988
"387","Twisted",0.615,0.514,-9.759,0.393,0.822,175.849
"388","How Do U Want It",0.828,0.81,-2.151,0.121,0.838,92.46
"389","California Love - Original Version",0.763,0.85,-3.052,0.0304,0.761,91.519
"390","Tha Crossroads",0.679,0.509,-7.31,0.0856,0.534,144.29
"391","Give Me One Reason",0.608,0.419,-10.016,0.602,0.602,100.22
"392","You're Makin' Me High",0.852,0.563,-8.663,0.0117,0.893,92.112
"393","Let It Flow - from ""Waiting to Exhale"" Original Soundtrack",0.66,0.489,-7.618,0.507,0.675,168.171
"394","Macarena - Bayside Boys Remix",0.741,0.868,-8.589,0.249,0.947,103.201
"395","Look into My Eyes",0.775,0.598,-5.898,0.0468,0.597,144.043
"396","Do You Know (What It Takes)",0.635,0.74,-4.439,0.00465,0.857,200.102
"397","Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster",0.845,0.884,-4.506,0.0128,0.904,104.536
"398","Say You'll Be There",0.726,0.679,-6.219,0.0149,0.751,107.02
"399","Semi-Charmed Life",0.64,0.864,-6.576,0.00832,0.7,102.026
"400","Return of the Mack",0.715,0.833,-5.379,0.00631,0.612,95.487
"401","Quit Playing Games (With My Heart)",0.8,0.875,-4.952,0.0615,0.882,100.033
"402","MMMBop",0.683,0.937,-6.335,0.00481,0.619,104.872
"403","Bitch",0.617,0.886,-5.953,0.0112,0.629,96.328
"404","I'll Be Missing You (feat. Faith Evans & 112)",0.709,0.347,-9.055,0.548,0.37,109.882
"405","All My Life",0.629,0.511,-8.651,0.114,0.181,128.038
"406","Crush",0.733,0.706,-5.652,0.0262,0.598,115.04
"407","Make It Hot (feat. Missy Elliott & Mocha)",0.76,0.458,-8.834,0.376,0.581,84.08
"408","My All",0.4,0.317,-10.249,0.732,0.108,107.845
"409","Adia",0.526,0.37,-10.535,0.722,0.251,76.002
"410","My Way",0.815,0.521,-8.178,0.0105,0.887,90.079
"411","Too Close - Radio Edit",0.847,0.402,-9.841,0.0116,0.754,99.684
"412","You're Still The One",0.551,0.527,-7.119,0.45,0.642,133.758
"413","The Boy Is Mine",0.704,0.707,-6.537,0.539,0.761,93.145
"414","Tell Me It's Real",0.687,0.532,-6.763,0.214,0.582,134.283
"415","It's Not Right But It's Okay",0.806,0.802,-7.076,0.162,0.529,127.931
"416","Wild Wild West - Album Version - No Intro",0.846,0.659,-6.888,0.0615,0.622,107.014
"417","All Star",0.731,0.867,-5.881,0.0395,0.776,104.019
"418","Where My Girls At",0.705,0.725,-7.435,0.0352,0.76,92.186
"419","I Want It That Way",0.689,0.694,-5.83,0.257,0.482,99.039
"420","Last Kiss",0.622,0.692,-6.97,0.363,0.774,112.053
"421","Bills, Bills, Bills",0.845,0.576,-5.15,0.139,0.461,127.641
"422","If You Had My Love",0.68,0.625,-7,0.0645,0.814,94.02
"423","Genie in a Bottle",0.633,0.792,-6.968,0.185,0.918,175.795
"424","Absolutely (Story of a Girl) - Radio Mix",0.481,0.94,-5.204,0.000891,0.66,96.493
"425","Incomplete",0.746,0.443,-7.693,0.282,0.272,119.311
"426","Higher",0.459,0.83,-6.254,5.15e-05,0.431,155.827
"427","Jumpin', Jumpin'",0.771,0.685,-4.639,0.00543,0.683,88.997
"428","I Wanna Know",0.725,0.487,-5.959,0.26,0.599,136.086
"429","Everything You Want",0.637,0.759,-6.389,0.0504,0.741,93.898
"430","Doesn't Really Matter",0.773,0.8,-2.875,0.0791,0.791,99.295
"431","Try Again",0.783,0.58,-7.398,0.0817,0.762,93.026
"432","It's Gonna Be Me",0.636,0.873,-4.672,0.0407,0.908,165.071
"433","Bent",0.518,0.83,-6.814,0.0404,0.527,95.468
"434","All or Nothing",0.644,0.473,-5.201,0.205,0.252,126.925
"435","Fallin'",0.653,0.609,-7.519,0.263,0.482,95.982
"436","Where the Party At (feat. Nelly)",0.596,0.661,-6.239,0.31,0.86,129.491
"437","Bootylicious",0.84,0.835,-4.386,0.00281,0.637,103.376
"438","Peaches & Cream",0.677,0.52,-6.255,0.00277,0.768,203.862
"439","Drops of Jupiter (Tell Me)",0.468,0.64,-5.862,0.154,0.499,79.297
"440","Hit 'Em Up Style (Oops!)",0.667,0.773,-4.983,0.201,0.667,89.976
"441","Hanging By A Moment",0.541,0.864,-4.915,0.00118,0.435,124.557
"442","Let Me Blow Ya Mind",0.908,0.557,-4.243,0.242,0.897,90.032
"443","U Remind Me",0.657,0.629,-4.938,0.194,0.726,93.985
"444","Just a Friend 2002 - Radio Edit",0.538,0.677,-6.099,0.00541,0.913,132.346
"445","A Thousand Miles",0.56,0.825,-3.862,0.323,0.268,94.931
"446","Foolish",0.665,0.695,-5.763,0.347,0.707,90.119
"447","The Middle",0.634,0.85,-5.31,0.0358,0.913,162.166
"448","Hero (feat. Josey Scott)",0.427,0.843,-4.54,0.00216,0.304,147.387
"449","I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",0.713,0.471,-7.392,0.421,0.781,199.765
"450","Without Me",0.91,0.661,-2.814,0.00276,0.643,112.251
"451","Dilemma",0.727,0.552,-8.074,0.227,0.607,168.189
"452","Complicated",0.585,0.776,-5.898,0.0572,0.427,77.987
"453","Hot In Herre",0.956,0.745,-4.753,0.206,0.912,107.075
"454","Never Leave You (Uh Oooh, Uh Oooh)",0.811,0.657,-6.197,0.0391,0.777,199.958
"455","P.I.M.P.",0.7,0.758,-3.012,0.0444,0.889,78.693
"456","This Is The Night",0.528,0.56,-8.296,0.151,0.372,99.037
"457","Bring Me To Life",0.331,0.943,-3.188,0.00721,0.296,94.612
"458","Get Busy",0.735,0.824,-4.143,0.615,0.726,100.202
"459","Rock Wit U (Awww Baby)",0.71,0.797,-3.006,0.408,0.849,94.998
"460","Unwell",0.256,0.788,-5.263,0.0298,0.429,80.718
"461","Right Thurr",0.866,0.749,-3.977,0.15,0.891,92.074
"462","Magic Stick",0.849,0.499,-7.872,0.117,0.504,92.982
"463","Crazy In Love (feat. Jay-Z)",0.646,0.77,-6.596,0.00249,0.681,99.165
"464","Sunshine (feat. Lea)",0.814,0.387,-9.867,0.0248,0.792,93.961
"465","Dip It Low - Feat. Fabolous",0.748,0.736,-4.274,0.0132,0.58,169.156
"466","Turn Me On",0.677,0.682,-6.879,0.0405,0.875,106.279
"467","Move Ya Body",0.87,0.712,-6.313,0.0202,0.877,121.057
"468","If I Ain't Got You",0.609,0.445,-9.129,0.603,0.166,118.393
"469","The Reason",0.447,0.668,-4.683,0.0127,0.0695,82.904
"470","Lean Back",0.783,0.916,-3.344,0.11,0.695,95.321
"471","Burn",0.796,0.477,-7.161,0.314,0.685,119.928
"472","Slow Motion",0.713,0.734,-4.894,0.548,0.89,172.872
"473","Confessions Part II",0.845,0.467,-7.674,0.0586,0.702,138.007
"474","You And Me",0.461,0.446,-7.703,0.1,0.375,139.868
"475","Just A Lil Bit",0.489,0.692,-6.672,0.0322,0.527,96.946
"476","Let Me Hold You (feat. Omarion)",0.815,0.662,-8.244,0.0915,0.611,151.518
"477","Lose Control (feat. Ciara & Fat Man Scoop)",0.904,0.813,-7.105,0.0311,0.81,125.461
"478","Don't Phunk With My Heart",0.689,0.929,-2.76,0.00933,0.609,130.899
"479","Behind These Hazel Eyes",0.548,0.889,-4.682,0.00165,0.425,90.048
"480","Pon de Replay",0.779,0.64,-8.415,0.000155,0.498,99.019
"481","Don't Cha",0.877,0.637,-3.493,0.00516,0.569,119.988
"482","Hollaback Girl",0.918,0.918,-2.218,0.344,0.882,110.024
"483","We Belong Together",0.837,0.462,-7.89,0.0339,0.762,139.986
"484","Over My Head (Cable Car)",0.592,0.729,-4.156,0.022,0.709,116.03
"485","Ain't No Other Man",0.862,0.742,-4.722,0.00376,0.511,127.91
"486","Unfaithful",0.588,0.391,-8.607,0.839,0.349,144.069
"487","Ridin'",0.788,0.798,-4.68,0.189,0.836,143.051
"488","Buttons - Featuring Big Snoop Dogg",0.524,0.809,-4.787,0.185,0.532,210.893
"489","It's Goin' Down (feat. Nitti)",0.888,0.577,-7.702,0.0986,0.609,84.003
"490","Me & U",0.803,0.454,-4.802,0.352,0.739,99.99
"491","Crazy",0.835,0.741,-1.609,0.0172,0.612,111.963
"492","Hips Don't Lie (feat. Wyclef Jean)",0.778,0.824,-5.892,0.284,0.756,100.024
"493","Promiscuous",0.795,0.978,-6.097,0.046,0.843,114.321
"494","Make Me Better",0.607,0.599,-6.886,0.33,0.562,86.491
"495","Bartender (feat. Akon)",0.675,0.394,-8.539,0.0611,0.405,104.987
"496","Makes Me Wonder",0.803,0.851,-2.429,0.00485,0.881,113.996
"497","Beautiful Girls",0.745,0.666,-5.899,0.159,0.708,129.995
"498","The Way I Are",0.731,0.807,-6.492,0.181,0.765,114.759
"499","Buy U a Drank (Shawty Snappin') (feat. Yung Joc)",0.451,0.55,-8.137,0.0108,0.594,80.001
"500","Hey There Delilah",0.656,0.291,-10.572,0.872,0.298,103.971
"501","Party Like A Rock Star",0.619,0.709,-4.633,0.00541,0.68,144.972
"502","Big Girls Don't Cry (Personal)",0.708,0.641,-4.296,0.205,0.253,113.082
"503","Umbrella",0.583,0.829,-4.603,0.00864,0.575,174.028
"504","Dangerous",0.949,0.79,-5.957,0.00437,0.807,117.002
"505","Leavin'",0.687,0.71,-5.84,0.0283,0.886,79.235
"506","Disturbia",0.707,0.813,-4.515,0.0863,0.722,124.921
"507","Pocketful of Sunshine",0.721,0.88,-3.896,0.191,0.655,110.021
"508","Forever",0.669,0.822,-4.288,0.0339,0.43,120.011
"509","Bleeding Love",0.638,0.656,-5.886,0.188,0.225,104.036
"510","Viva La Vida",0.485,0.619,-7.115,0.0941,0.416,138.017
"511","Lollipop",0.829,0.428,-9.469,0.056,0.45,148.075
"512","Take A Bow",0.697,0.467,-7.536,0.248,0.572,82.082
"513","I Kissed A Girl",0.699,0.76,-3.173,0.00223,0.696,129.996
"514","Waking Up In Vegas",0.524,0.878,-3.108,0.0012,0.59,130.989
"515","Use Somebody",0.276,0.715,-5.356,0.00552,0.173,137.028
"516","I Know You Want Me (Calle Ocho)",0.82,0.731,-6.02,0.0133,0.793,127.076
"517","LoveGame",0.894,0.677,-5.618,0.00562,0.857,105.029
"518","Fire Burning",0.839,0.804,-2.513,0.0192,0.888,122.973
"519","You Belong With Me",0.687,0.783,-4.44,0.162,0.443,129.964
"520","Best I Ever Had",0.427,0.861,-4.874,0.219,0.581,161.776
"521","Knock You Down",0.588,0.877,-4.78,0.00952,0.645,155.165
"522","Boom Boom Pow",0.867,0.857,-5.892,0.13,0.402,130.048
"523","I Gotta Feeling",0.743,0.766,-6.375,0.0873,0.61,127.96
"524","Not Afraid",0.855,0.954,-1.19,0.529,0.668,114.635
"525","Find Your Love",0.627,0.614,-6.006,0.0211,0.758,96.038
"526","I Like It",0.646,0.94,-2.856,0.0209,0.704,129.011
"527","Cooler Than Me - Single Mix",0.768,0.82,-4.63,0.179,0.625,129.969
"528","Billionaire (feat. Bruno Mars)",0.633,0.673,-6.403,0.297,0.659,86.776
"529","Dynamite",0.754,0.804,-3.177,0.00332,0.818,119.968
"530","OMG",0.781,0.745,-5.81,0.198,0.326,129.998
"531","Airplanes (feat. Hayley Williams)",0.66,0.867,-4.285,0.11,0.377,93.033
"532","Love The Way You Lie",0.749,0.925,-5.034,0.241,0.641,86.989
"533","California Gurls",0.788,0.753,-3.71,0.0038,0.403,125.005
"534","E.T.",0.602,0.863,-5.423,0.0178,0.732,150.183
"535","Tonight Tonight",0.686,0.783,-4.977,0.0764,0.814,99.978
"536","Good Life",0.634,0.69,-7.804,0.0771,0.645,94.988
"537","The Edge Of Glory",0.581,0.772,-6.544,0.000343,0.361,127.952
"538","How To Love",0.644,0.661,-6.093,0.000177,0.272,154.001
"539","Super Bass",0.767,0.738,-7.491,0.0582,0.59,126.938
"540","Last Friday Night (T.G.I.F.)",0.651,0.812,-3.797,0.00125,0.72,126.023
"541","Rolling in the Deep",0.729,0.756,-5.119,0.131,0.522,104.945
"542","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.673,0.934,-3.206,0.161,0.485,129.027
"543","Party Rock Anthem",0.75,0.727,-4.21,0.0189,0.359,129.993
"544","Starships",0.747,0.716,-2.457,0.135,0.751,125.006
"545","We Are Young (feat. Janelle Monáe)",0.378,0.638,-5.576,0.02,0.735,184.086
"546","Titanium (feat. Sia)",0.604,0.788,-3.673,0.0678,0.301,126.06
"547","Whistle",0.747,0.937,-5.746,0.0208,0.739,103.976
"548","Where Have You Been",0.719,0.847,-6.34,0.00201,0.444,127.963
"549","Lights - Single Version",0.683,0.789,-6.132,0.0283,0.809,120.013
"550","Wide Awake",0.514,0.683,-5.099,0.0749,0.575,159.814
"551","Somebody That I Used To Know",0.864,0.495,-7.036,0.591,0.72,129.062
"552","Payphone",0.739,0.756,-4.828,0.0136,0.523,110.028
"553","Call Me Maybe",0.783,0.58,-6.548,0.0114,0.66,120.021
"554","Come & Get It",0.546,0.787,-4.1,0.0101,0.573,79.979
"555","Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version",0.887,0.441,-8.98,0.0514,0.715,129.908
"556","Treasure",0.874,0.692,-5.28,0.0412,0.937,116.017
"557","Mirrors",0.574,0.512,-6.664,0.234,0.512,76.899
"558","Cruise - Remix",0.525,0.915,-4.351,0.0156,0.623,149.042
"559","Can't Hold Us (feat. Ray Dalton)",0.634,0.927,-4.468,0.027,0.88,146.094
"560","We Can't Stop",0.613,0.622,-5.794,0.00882,0.484,80.003
"561","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit",0.794,0.811,-8.966,0.0426,0.862,116.047
"562","Radioactive",0.448,0.784,-3.686,0.106,0.236,136.245
"563","Blurred Lines",0.853,0.599,-4.756,0.00334,0.843,119.993
"564","Turn Down for What",0.818,0.799,-4.1,0.00107,0.0815,100.014
"565","Summer",0.596,0.856,-3.556,0.0211,0.743,127.949
"566","Happy",0.652,0.757,-6.819,0.286,0.962,159.911
"567","Wiggle (feat. Snoop Dogg)",0.697,0.621,-6.886,0.0802,0.721,81.946
"568","All of Me",0.422,0.264,-7.064,0.922,0.331,119.93
"569","Am I Wrong",0.729,0.675,-6.003,0.175,0.779,119.968
"570","Stay With Me",0.479,0.419,-6.517,0.568,0.186,85.014
"571","Problem",0.66,0.805,-5.352,0.0192,0.625,103.008
"572","Rude",0.774,0.756,-4.995,0.0423,0.931,144.032
"573","Fancy",0.912,0.716,-4.141,0.0904,0.377,94.981
"574","Fight Song",0.564,0.714,-4.987,0.0549,0.33,175.924
"575","The Hills",0.585,0.564,-7.063,0.0671,0.137,113.003
"576","Lean On",0.723,0.809,-3.081,0.00346,0.274,98.007
"577","Shut Up and Dance",0.578,0.866,-3.804,0.00701,0.619,128.038
"578","Trap Queen",0.746,0.873,-3.803,0.0244,0.817,148.075
"579","Watch Me (Whip / Nae Nae)",0.821,0.759,-8.541,0.247,0.962,140.01
"580","Can't Feel My Face",0.705,0.769,-5.526,0.112,0.59,107.939
"581","Bad Blood",0.654,0.655,-7.388,0.0294,0.221,170.16
"582","See You Again (feat. Charlie Puth)",0.689,0.481,-7.503,0.369,0.283,80.025
"583","Cheerleader - Felix Jaehn Remix Radio Edit",0.78,0.68,-6.081,0.141,0.594,118.026
"584","Send My Love (To Your New Lover)",0.69,0.524,-8.39,0.0415,0.562,164.023
"585","Work from Home (feat. Ty Dolla $ign)",0.803,0.585,-5.861,0.103,0.593,105.017
"586","Ride",0.645,0.713,-5.355,0.00835,0.566,74.989
"587","Needed Me",0.671,0.314,-8.091,0.11,0.296,110.898
"588","Panda",0.576,0.766,-4.943,0.028,0.236,144.833
"589","This Is What You Came For (feat. Rihanna)",0.63,0.928,-2.787,0.199,0.465,123.963
"590","Cheap Thrills (feat. Sean Paul)",0.592,0.788,-4.924,0.0599,0.755,89.949
"591","Don't Let Me Down (feat. Daya)",0.532,0.869,-5.094,0.157,0.422,159.803
"592","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.669,0.832,-5.72,0.0106,0.7,113.035
"593","One Dance",0.792,0.625,-5.609,0.00776,0.37,103.967
"594","Congratulations",0.63,0.804,-4.183,0.215,0.492,123.146
"595","Body Like A Back Road",0.732,0.458,-7.225,0.447,0.661,98.938
"596","Unforgettable",0.726,0.769,-5.043,0.0293,0.733,97.985
"597","HUMBLE.",0.908,0.621,-6.638,0.000282,0.421,150.011
"598","Believer",0.784,0.78,-4.275,0.0492,0.722,124.953
"599","Shape of You",0.825,0.652,-3.183,0.581,0.931,95.977
"600","Wild Thoughts (feat. Rihanna & Bryson Tiller)",0.613,0.681,-3.089,0.0287,0.619,97.621
"601","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",0.599,0.667,-4.267,0.0533,0.817,80.984
"602","That's What I Like",0.853,0.56,-4.961,0.013,0.86,134.066
"603","Despacito - Remix",0.653,0.816,-4.353,0.228,0.816,178.085
"604","Better Now",0.68,0.578,-5.804,0.331,0.341,145.038
"605","God's Plan",0.754,0.449,-9.211,0.0332,0.357,77.169
"606","no tears left to cry",0.699,0.713,-5.507,0.04,0.354,121.993
"607","Boo'd Up",0.561,0.779,-5.107,0.0862,0.235,81.965
"608","Psycho (feat. Ty Dolla $ign)",0.75,0.56,-8.094,0.546,0.459,140.06
"609","Lucid Dreams",0.511,0.566,-7.23,0.349,0.218,83.903
"610","Nice For What",0.585,0.909,-6.474,0.0891,0.758,93.372
"611","Girls Like You",0.611,0.462,-7.054,0.558,0.377,59.635
"612","I Like It",0.816,0.726,-3.998,0.099,0.65,136.048
"613","In My Feelings",0.835,0.626,-5.833,0.0589,0.35,91.03
