"","track.name","danceability","energy","loudness","acousticness","valence","tempo"
"80","(I Can't Get No) Satisfaction - Mono Version",0.723,0.863,-7.89,0.0383,0.931,136.302
"81","See You in September",0.519,0.422,-8.732,0.864,0.803,128.956
"82","Sunshine Superman",0.629,0.677,-7.239,0.122,0.627,132.783
"83","Red Rubber Ball",0.611,0.518,-9.982,0.433,0.792,92.15
"84","Strangers In The Night",0.259,0.473,-8.275,0.592,0.539,90.348
"85","Sunny",0.714,0.338,-10.994,0.93,0.667,128.385
"86","Paperback Writer - Remastered 2015",0.472,0.856,-6.03,0.147,0.841,78.696
"87","Hanky Panky - Single Version",0.646,0.911,-6.228,0.411,0.895,126.122
"88","Li'l Red Riding Hood",0.769,0.381,-9.466,0.613,0.528,122.29
"89","Summer in the City - Remastered",0.423,0.681,-9.756,0.0592,0.559,110.461
"90","Wild Thing",0.458,0.853,-8.575,0.741,0.671,202.509
"91","Baby, I Love You",0.681,0.261,-17.347,0.625,0.795,91.357
"92","San Francisco (Be Sure to Wear Flowers In Your Hair)",0.566,0.505,-10.404,0.428,0.649,113.145
"93","A Whiter Shade Of Pale",0.249,0.66,-6.905,0.504,0.435,149.813
"94","Ode To Billie Joe",0.637,0.189,-10.726,0.721,0.695,120.142
"95","All You Need Is Love - Remastered 2009",0.4,0.48,-7.768,0.346,0.653,103.436
"96","I Was Made To Love Her",0.371,0.613,-6.685,0.0589,0.873,203.732
"97","Little Bit O' Soul - Remastered",0.539,0.694,-8.627,0.384,0.877,131.901
"98","Can't Take My Eyes off You",0.581,0.78,-7.053,0.508,0.561,123.711
"99","Windy - Remastered Version",0.676,0.681,-9.223,0.363,0.901,132.953
"100","Light My Fire",0.413,0.725,-5.787,0.369,0.44,124.618
"101","Born To Be Wild - Single Version",0.439,0.734,-12.168,0.262,0.54,145.703
"102","Classical Gas",0.486,0.701,-10.53,0.852,0.74,155.269
"103","Jumpin' Jack Flash - Mono",0.596,0.901,-7.373,0.0362,0.621,137.359
"104","Lady Willpower",0.524,0.561,-7.655,0.442,0.641,122.948
"105","The Horse",0.647,0.571,-6.003,0.0501,0.922,135.785
"106","Stoned Soul Picnic",0.557,0.448,-12.227,0.2,0.733,93.658
"107","Grazing In The Grass",0.661,0.554,-12.241,0.36,0.906,106.894
"108","People Got to Be Free",0.685,0.696,-8.137,0.466,0.96,126.019
"109","Hello, I Love You",0.597,0.554,-14.144,0.029,0.963,117.835
"110","This Guy's In Love With You",0.635,0.167,-12.998,0.858,0.246,83.768
"111","A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",0.685,0.486,-11.898,0.758,0.892,101.539
"112","Sweet Caroline",0.556,0.261,-8.87,0.452,0.623,126.858
"113","What Does It Take (To Win Your Love)",0.637,0.481,-11.078,0.0858,0.718,109.484
"114","Good Morning Starshine - Re-Recording",0.691,0.513,-9.625,0.51,0.835,124.98
"115","One - Single Version",0.55,0.409,-12.702,0.312,0.405,61.226
"116","Spinning Wheel",0.692,0.37,-14.261,0.413,0.582,96.748
"117","Love Theme From Romeo And Juliet",0.4,0.118,-16.286,0.98,0.173,75.741
"118","Crystal Blue Persuasion (45 Version)",0.63,0.292,-13.263,0.243,0.765,99.348
"119","Honky Tonk Women - Mono Version",0.559,0.718,-8.534,0.364,0.965,120.24
"120","In the Year 2525",0.437,0.605,-5.5,0.00924,0.581,125.114
"121","In the Summertime",0.754,0.449,-14.013,0.724,0.973,82.751
"122","Signed, Sealed, Delivered (I'm Yours)",0.672,0.595,-11.227,0.0518,0.871,108.897
"123","Spill The Wine",0.828,0.473,-13.591,0.363,0.956,119.731
"124","Band Of Gold - Rerecorded",0.701,0.602,-10.776,0.438,0.959,108.758
"125","Ball Of Confusion (That's What The World Is Today) - Single Version/Mono",0.597,0.626,-10.207,0.13,0.899,80.783
"126","War - Single Version",0.591,0.781,-9.68,0.0677,0.709,109.481
"127","The Love You Save",0.755,0.713,-10.953,0.411,0.946,113.656
"128","I Found That Girl",0.531,0.379,-11.937,0.476,0.662,92.204
"129","Make It with You",0.629,0.356,-11.135,0.66,0.472,83.886
"130","Mama Told Me (Not To Come) - Single Version",0.673,0.673,-13.941,0.373,0.825,119.994
"131","(They Long To Be) Close To You",0.543,0.241,-14.59,0.669,0.205,89.078
"132","Signs",0.446,0.731,-10.302,0.243,0.723,153.672
"133","Treat Her Like A Lady",0.775,0.476,-8.539,0.191,0.928,131.4
"134","Draggin' the Line",0.669,0.583,-9.165,0.0521,0.647,114.548
"135","Don't Pull Your Love",0.627,0.59,-12.019,0.364,0.902,100.543
"136","Take Me Home, Country Roads",0.462,0.395,-9.376,0.758,0.625,82.259
"137","Mr. Big Stuff",0.886,0.491,-12.589,0.29,0.971,93.236
"138","You've Got a Friend",0.695,0.282,-15.359,0.681,0.445,91.681
"139","Indian Reservation (The Lament of the Cherokee Reservation Indian)",0.639,0.385,-13.253,0.284,0.209,131.714
"140","It's Too Late",0.45,0.441,-12.718,0.498,0.811,208.282
"141","I Feel the Earth Move",0.711,0.576,-8.784,0.648,0.645,120.116
"142","How Can You Mend A Broken Heart",0.335,0.262,-13.832,0.548,0.203,68.82
"143","Where Is the Love",0.552,0.386,-15.39,0.252,0.583,114.969
"144","Song Sung Blue - Single Version",0.55,0.334,-15.681,0.487,0.373,109.158
"145","I'm Still in Love with You",0.712,0.399,-9.551,0.159,0.799,97.918
"146","Daddy Don't You Walk So Fast - Re-Recorded In Stereo",0.472,0.503,-10.018,0.467,0.443,152.728
"147","Long Cool Woman (In a Black Dress) - 1999 Remaster",0.757,0.868,-9.326,0.411,0.815,138.923
"148","Too Late To Turn Back Now",0.516,0.73,-7.136,0.344,0.907,115.126
"149","(If Loving You Is Wrong) I Don't Want to Be Right",0.502,0.451,-7.423,0.283,0.531,140.474
"150","Lean on Me",0.619,0.22,-13.843,0.782,0.423,75.16
"151","Brandy (You're a Fine Girl)",0.715,0.625,-11.369,0.396,0.826,125.275
"152","Alone Again (Naturally)",0.558,0.464,-8.488,0.583,0.559,171.762
"153","Yesterday Once More",0.253,0.391,-13.662,0.7,0.362,168.96
"154","Kodachrome",0.592,0.705,-10.276,0.0291,0.902,135.754
"155","Let's Get It On",0.55,0.611,-10.657,0.0392,0.626,168.512
"156","Give Me Love (Give Me Peace On Earth) - 2014 Mix",0.373,0.57,-11.56,0.497,0.631,81.28
"157","Live And Let Die - Remastered 1993",0.412,0.393,-13.316,0.0742,0.183,154.241
"158","The Morning After - Single Version",0.408,0.511,-7.225,0.475,0.354,80.176
"159","Touch Me In The Morning",0.355,0.615,-7.21,0.454,0.603,137.19
"160","Brother Louie",0.697,0.498,-9.147,0.101,0.85,103.77
"161","Will It Go Round In Circles",0.677,0.871,-7.997,0.284,0.898,98.446
"162","Bad, Bad Leroy Brown",0.674,0.795,-7.461,0.517,0.876,147.959
"163","Don't Let The Sun Go Down On Me",0.424,0.446,-8.526,0.121,0.354,139.701
"164","Sundown",0.794,0.427,-15.492,0.334,0.751,105.732
"165","Rock the Boat",0.597,0.581,-9.72,0.257,0.885,107.202
"166","Tell Me Something Good",0.657,0.546,-9.738,0.616,0.757,73.131
"167","Billy, Don't Be A Hero",0.71,0.691,-10.169,0.0403,0.963,122.156
"168","Rock Your Baby",0.595,0.824,-9.768,0.166,0.941,104.484
"169","The Night Chicago Died",0.774,0.585,-9.679,0.0829,0.662,109.731
"170","Feel Like Makin' Love",0.681,0.264,-21.861,0.833,0.692,93.809
"171","(You're) Having My Baby",0.596,0.589,-8.747,0.551,0.587,75.288
"172","Annie's Song",0.325,0.308,-11.503,0.92,0.447,147.117
"173","Someone Saved My Life Tonight",0.457,0.447,-8.181,0.382,0.166,129.619
"174","I'm Not In Love",0.394,0.663,-11.117,0.678,0.21,133.464
"175","Fallin' in Love (Re-Recorded)",0.611,0.331,-18.131,0.389,0.758,90.745
"176","Listen To What The Man Said - 1993 Digital Remaster",0.502,0.54,-10.624,0.0328,0.531,113.171
"177","Please Mr. Please",0.463,0.453,-13.204,0.371,0.561,145.796
"178","The Hustle - Original Mix",0.627,0.875,-10.291,0.232,0.854,110.521
"179","Rhinestone Cowboy",0.644,0.633,-8.006,0.102,0.647,115.193
"180","Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",0.811,0.545,-12.969,0.155,0.734,105.911
"181","Love Will Keep Us Together",0.621,0.788,-4.326,0.354,0.926,129.62
"182","One of These Nights - 2013 Remaster",0.655,0.606,-10.385,0.0603,0.765,110.061
"183","I'd Really Love to See You Tonight",0.62,0.556,-12.044,0.184,0.592,119.172
"184","(Shake, Shake, Shake) Shake Your Booty - Single Version",0.647,0.878,-10.773,0.00741,0.945,112.118
"185","Silly Love Songs - Remastered 1993",0.739,0.335,-16.23,0.184,0.818,125.11
"186","Let 'Em In - Remastered 1993",0.754,0.368,-15.8,0.456,0.629,88.062
"187","You'll Never Find Another Love Like Mine",0.691,0.718,-8.457,0.148,0.934,110.621
"188","Love Is Alive",0.77,0.553,-13.632,0.0614,0.904,98.346
"189","You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",0.681,0.716,-10.911,0.0182,0.963,123.009
"190","Afternoon Delight",0.491,0.439,-11.67,0.529,0.808,147.062
"191","Kiss and Say Goodbye",0.645,0.42,-10.09,0.555,0.583,129.084
"192","Don't Go Breaking My Heart",0.742,0.863,-7.823,0.177,0.776,131.193
"193","Do You Wanna Make Love",0.694,0.413,-9.1,0.348,0.542,109.967
"194","My Heart Belongs to Me",0.274,0.209,-15.723,0.743,0.297,139.316
"195","Easy",0.589,0.384,-15.075,0.112,0.354,132.909
"196","Looks Like We Made It",0.297,0.481,-7.681,0.574,0.456,139.896
"197","Undercover Angel - Rerecorded Version",0.672,0.527,-9.94,0.321,0.797,103.122
"198","I'm In You",0.33,0.494,-7.16,0.147,0.143,98.478
"199","Da Doo Ron Ron",0.567,0.585,-11.553,0.107,0.876,143.555
"200","(Your Love Has Lifted Me) Higher And Higher",0.648,0.622,-10.247,0.0429,0.736,117.563
"201","Best of My Love",0.784,0.713,-6.865,0.447,0.97,115.443
"202","I Just Want To Be Your Everything",0.652,0.647,-7.441,0.162,0.833,97.008
"203","Still The Same",0.709,0.767,-6.732,0.405,0.557,115.64
"204","Use Ta Be My Girl",0.559,0.505,-11.855,0.426,0.81,112.351
"205","Hot Blooded",0.705,0.806,-4.83,0.229,0.763,117.945
"206","Last Dance - Single Version",0.529,0.722,-10.241,0.137,0.252,126.356
"207","Boogie Oogie Oogie - Single Version 2 / Remastered 1999",0.835,0.522,-10.828,0.0991,0.91,123.934
"208","Baker Street",0.497,0.349,-14,0.0929,0.421,113.762
"209","Miss You - Remastered",0.795,0.71,-4.746,0.443,0.845,109.689
"210","Grease",0.821,0.365,-12.118,0.249,0.85,109.638
"211","Three Times A Lady",0.486,0.227,-11.818,0.832,0.0929,74.454
"212","Shadow Dancing",0.746,0.593,-9.636,0.139,0.958,101.905
"213","Gold",0.75,0.318,-16.104,0.654,0.372,126.929
"214","Boogie Wonderland",0.802,0.756,-10.791,0.0843,0.963,131.715
"215","After the Love Has Gone",0.424,0.443,-13.45,0.532,0.391,131.675
"216","Makin' It (Re-Recorded)",0.882,0.562,-7.67,0.0475,0.926,129.99
"217","The Main Event / Fight",0.722,0.711,-13.635,0.0211,0.759,137.285
"218","My Sharona",0.586,0.7,-9.558,0.0589,0.897,147.245
"219","Hot Stuff",0.832,0.735,-13.937,0.00635,0.965,120.455
"220","Good Times",0.87,0.657,-7.32,0.149,0.893,110.596
"221","Ring My Bell - Short Version",0.836,0.549,-9.03,0.0368,0.965,125.176
"222","Bad Girls",0.874,0.678,-14.444,0.00429,0.971,120.49
"223","Upside Down",0.883,0.903,-5.129,0.0768,0.878,107.965
"224","The Rose",0.347,0.228,-9.667,0.901,0.184,133.574
"225","Medley: Cupid / I've Loved Your for a Long Time",0.74,0.686,-9.501,0.199,0.933,123.078
"226","Emotional Rescue - Remastered 2009",0.678,0.621,-5.478,0.111,0.776,113.389
"227","Take Your Time (Do It Right)",0.863,0.538,-13.924,0.0129,0.877,118.931
"228","Sailing",0.469,0.382,-13.203,0.364,0.178,149.994
"229","Little Jeannie",0.608,0.391,-17.042,0.554,0.751,143.665
"230","Coming Up [Live at Glasgow, 1979] - 2011 Remaster",0.578,0.751,-7.803,0.147,0.684,137.023
"231","Magic",0.697,0.611,-5.997,0.0178,0.603,103.77
"232","It's Still Rock and Roll to Me",0.752,0.684,-7.599,0.0994,0.539,141.075
"233","All Those Years Ago - 2004 Mix",0.555,0.639,-6.832,0.137,0.518,125.77
"234","Queen Of Hearts",0.658,0.862,-9.963,0.211,0.969,169.532
"235","Elvira",0.825,0.285,-17.491,0.188,0.86,126.946
"236","I Don't Need You - Remastered 2006",0.474,0.282,-13.653,0.603,0.309,134.952
"237","The One That You Love",0.396,0.479,-8.072,0.728,0.184,109.973
"238","Slow Hand",0.826,0.558,-7.766,0.403,0.359,110.77
"239","Believe It or Not (Theme from ""Greatest American Hero"")",0.521,0.743,-5.903,0.249,0.451,117.129
"240","Endless Love",0.479,0.293,-11.562,0.597,0.175,93.645
"241","Bette Davis Eyes",0.675,0.649,-10.271,0.0204,0.596,116.624
"242","Jessie's Girl",0.727,0.832,-5.851,0.164,0.822,131.703
"243","Keep the Fire Burnin'",0.445,0.818,-9.797,0.15,0.777,104.531
"244","Let It Whip",0.826,0.9,-4.383,0.112,0.954,132.099
"245","Even the Nights Are Better",0.434,0.507,-10.422,0.565,0.236,115.309
"246","Rosanna",0.384,0.512,-13.035,0.0213,0.739,78.442
"247","Hard to Say I'm Sorry / Get Away - 2006 Remaster",0.398,0.57,-7.068,0.056,0.234,140.974
"248","Don't You Want Me",0.731,0.738,-8.125,0.184,0.958,117.656
"249","Hold Me - 2016 Remaster",0.699,0.741,-8.488,0.337,0.864,125.698
"250","Abracadabra",0.791,0.535,-13.261,0.0749,0.963,127.488
"251","Hurts So Good",0.785,0.737,-5.306,0.042,0.971,125.447
"252","Eye of the Tiger",0.815,0.438,-14.522,0.216,0.552,108.965
"253","Wanna Be Startin' Somethin'",0.842,0.872,-8.234,0.0259,0.906,122.111
"254","Stand Back - 2016 Remaster",0.684,0.848,-7.908,0.109,0.653,116.027
